540
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
#    1    13   348     -666    -2485    -1125  8
#    1    13   349     -135    -2569    -1125  8
#    1    13   350      402    -2541    -1125  8
#    1    13   351      922    -2402    -1125  8
#    1    13   352     1401    -2158    -1125  8
#    1    13   353     1819    -1819    -1125  8
#    1    13   354     2158    -1401    -1125  8
#    1    13   355     2402     -922    -1125  8
#    1    13   356     2541     -402    -1125  8
#    1    14   357     2541      402    -1575  8
#    1    14   358     2402      922    -1575  8
#    1    14   359     2158     1401    -1575  8
#    1    14   360     1819     1819    -1575  8
#    1    14   361     1401     2158    -1575  8
#    1    14   362      922     2402    -1575  8
#    1    14   363      402     2541    -1575  8
#    1    14   364     -135     2569    -1575  8
#    1    14   365     -666     2485    -1575  8
#    1    14   366    -1168     2292    -1575  8
#    1    14   367    -1619     1999    -1575  8
#    1    14   368    -1999     1619    -1575  8
#    1    14   369    -2292     1168    -1575  8
#    1    14   370    -2485      666    -1575  8
#    1    14   371    -2569      135    -1575  8
#    1    14   372    -2541     -402    -1575  8
#    1    14   373    -2402     -922    -1575  8
#    1    14   374    -2158    -1401    -1575  8
#    1    14   375    -1819    -1819    -1575  8
#    1    14   376    -1401    -2158    -1575  8
#    1    14   377     -922    -2402    -1575  8
#    1    14   378     -402    -2541    -1575  8
#    1    14   379      135    -2569    -1575  8
#    1    14   380      666    -2485    -1575  8
#    1    14   381     1168    -2292    -1575  8
#    1    14   382     1619    -1999    -1575  8
#    1    14   383     1999    -1619    -1575  8
#    1    14   384     2292    -1168    -1575  8
#    1    14   385     2485     -666    -1575  8
#    1    14   386     2569     -135    -1575  8
#    1    15   387     2569      135    -2025  8
#    1    15   388     2485      666    -2025  8
#    1    15   389     2292     1168    -2025  8
#    1    15   390     1999     1619    -2025  8
#    1    15   391     1619     1999    -2025  8
#    1    15   392     1168     2292    -2025  8
#    1    15   393      666     2485    -2025  8
#    1    15   394      135     2569    -2025  8
#    1    15   395     -402     2541    -2025  8
#    1    15   396     -922     2402    -2025  8
#    1    15   397    -1401     2158    -2025  8
#    1    15   398    -1819     1819    -2025  8
#    1    15   399    -2158     1401    -2025  8
#    1    15   400    -2402      922    -2025  8
#    1    15   401    -2541      402    -2025  8
#    1    15   402    -2569     -135    -2025  8
#    1    15   403    -2485     -666    -2025  8
#    1    15   404    -2292    -1168    -2025  8
#    1    15   405    -1999    -1619    -2025  8
#    1    15   406    -1619    -1999    -2025  8
#    1    15   407    -1168    -2292    -2025  8
#    1    15   408     -666    -2485    -2025  8
#    1    15   409     -135    -2569    -2025  8
#    1    15   410      402    -2541    -2025  8
#    1    15   411      922    -2402    -2025  8
#    1    15   412     1401    -2158    -2025  8
#    1    15   413     1819    -1819    -2025  8
#    1    15   414     2158    -1401    -2025  8
#    1    15   415     2402     -922    -2025  8
#    1    15   416     2541     -402    -2025  8
#    1    16   417     2541      402    -2475  8
#    1    16   418     2402      922    -2475  8
#    1    16   419     2158     1401    -2475  8
#    1    16   420     1819     1819    -2475  8
#    1    16   421     1401     2158    -2475  8
#    1    16   422      922     2402    -2475  8
#    1    16   423      402     2541    -2475  8
#    1    16   424     -135     2569    -2475  8
#    1    16   425     -666     2485    -2475  8
#    1    16   426    -1168     2292    -2475  8
#    1    16   427    -1619     1999    -2475  8
#    1    16   428    -1999     1619    -2475  8
#    1    16   429    -2292     1168    -2475  8
#    1    16   430    -2485      666    -2475  8
#    1    16   431    -2569      135    -2475  8
#    1    16   432    -2541     -402    -2475  8
#    1    16   433    -2402     -922    -2475  8
#    1    16   434    -2158    -1401    -2475  8
#    1    16   435    -1819    -1819    -2475  8
#    1    16   436    -1401    -2158    -2475  8
#    1    16   437     -922    -2402    -2475  8
#    1    16   438     -402    -2541    -2475  8
#    1    16   439      135    -2569    -2475  8
#    1    16   440      666    -2485    -2475  8
#    1    16   441     1168    -2292    -2475  8
#    1    16   442     1619    -1999    -2475  8
#    1    16   443     1999    -1619    -2475  8
#    1    16   444     2292    -1168    -2475  8
#    1    16   445     2485     -666    -2475  8
#    1    16   446     2569     -135    -2475  8
# bottom
    2    17   447     2238      235    -2623  8
    2    17   448     2140      695    -2623  8
    2    17   449     1949     1125    -2623  8
    2    17   450     1672     1506    -2623  8
    2    17   451     1323     1820    -2623  8
    2    17   452      915     2055    -2623  8
    2    17   453      468     2201    -2623  8
    2    17   454        0     2250    -2623  8
    2    17   455     -468     2201    -2623  8
    2    17   456     -915     2055    -2623  8
    2    17   457    -1323     1820    -2623  8
    2    17   458    -1672     1506    -2623  8
    2    17   459    -1949     1125    -2623  8
    2    17   460    -2140      695    -2623  8
    2    17   461    -2238      235    -2623  8
    2    17   462    -2238     -235    -2623  8
    2    17   463    -2140     -695    -2623  8
    2    17   464    -1949    -1125    -2623  8
    2    17   465    -1672    -1506    -2623  8
    2    17   466    -1323    -1820    -2623  8
    2    17   467     -915    -2055    -2623  8
    2    17   468     -468    -2201    -2623  8
    2    17   469        0    -2250    -2623  8
