480
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
   1       0     210    7937    4243    -900      10
   1       0     211    6957    5710    -900      10
   1       0     212    5710    6957    -900      10
   1       0     213    4243    7937    -900      10
   1       0     214    2613    8612    -900      10
   1       0     215     882    8957    -900      10
   1       0     216    -882    8957    -900      10
   1       0     217   -2613    8612    -900      10
   1       0     218   -4243    7937    -900      10
   1       0     219   -5710    6957    -900      10
   1       0     220   -6957    5710    -900      10
   1       0     221   -7937    4243    -900      10
   1       0     222   -8612    2613    -900      10
   1       0     223   -8957     882    -900      10
   1       0     224   -8957    -882    -900      10
   1       0     225   -8612   -2613    -900      10
   1       0     226   -7937   -4243    -900      10
   1       0     227   -6957   -5710    -900      10
   1       0     228   -5710   -6957    -900      10
   1       0     229   -4243   -7937    -900      10
   1       0     230   -2613   -8612    -900      10
   1       0     231    -882   -8957    -900      10
   1       0     232     882   -8957    -900      10
   1       0     233    2613   -8612    -900      10
   1       0     234    4243   -7937    -900      10
   1       0     235    5710   -6957    -900      10
   1       0     236    6957   -5710    -900      10
   1       0     237    7937   -4243    -900      10
   1       0     238    8612   -2613    -900      10
   1       0     239    8957    -882    -900      10
   1       0     240    9000       0     900      10
   1       0     241    8827    1756     900      10
   1       0     242    8315    3444     900      10
   1       0     243    7483    5000     900      10
   1       0     244    6364    6364     900      10
   1       0     245    5000    7483     900      10
   1       0     246    3444    8315     900      10
   1       0     247    1756    8827     900      10
   1       0     248       0    9000     900      10
   1       0     249   -1756    8827     900      10
   1       0     250   -3444    8315     900      10
   1       0     251   -5000    7483     900      10
   1       0     252   -6364    6364     900      10
   1       0     253   -7483    5000     900      10
   1       0     254   -8315    3444     900      10
   1       0     255   -8827    1756     900      10
   1       0     256   -9000       0     900      10
   1       0     257   -8827   -1756     900      10
   1       0     258   -8315   -3444     900      10
   1       0     259   -7483   -5000     900      10
   1       0     260   -6364   -6364     900      10
   1       0     261   -5000   -7483     900      10
   1       0     262   -3444   -8315     900      10
   1       0     263   -1756   -8827     900      10
   1       0     264      -0   -9000     900      10
   1       0     265    1756   -8827     900      10
   1       0     266    3444   -8315     900      10
   1       0     267    5000   -7483     900      10
   1       0     268    6364   -6364     900      10
   1       0     269    7483   -5000     900      10
   1       0     270    8315   -3444     900      10
   1       0     271    8827   -1756     900      10
   1       0     272    8957     882    2700      10
   1       0     273    8612    2613    2700      10
   1       0     274    7937    4243    2700      10
   1       0     275    6957    5710    2700      10
   1       0     276    5710    6957    2700      10
   1       0     277    4243    7937    2700      10
   1       0     278    2613    8612    2700      10
   1       0     279     882    8957    2700      10
   1       0     280    -882    8957    2700      10
   1       0     281   -2613    8612    2700      10
   1       0     282   -4243    7937    2700      10
   1       0     283   -5710    6957    2700      10
   1       0     284   -6957    5710    2700      10
   1       0     285   -7937    4243    2700      10
   1       0     286   -8612    2613    2700      10
   1       0     287   -8957     882    2700      10
   1       0     288   -8957    -882    2700      10
   1       0     289   -8612   -2613    2700      10
   1       0     290   -7937   -4243    2700      10
   1       0     291   -6957   -5710    2700      10
   1       0     292   -5710   -6957    2700      10
   1       0     293   -4243   -7937    2700      10
   1       0     294   -2613   -8612    2700      10
   1       0     295    -882   -8957    2700      10
   1       0     296     882   -8957    2700      10
   1       0     297    2613   -8612    2700      10
   1       0     298    4243   -7937    2700      10
   1       0     299    5710   -6957    2700      10
   1       0     300    6957   -5710    2700      10
   1       0     301    7937   -4243    2700      10
   1       0     302    8612   -2613    2700      10
   1       0     303    8957    -882    2700      10
   1       0     304    9000       0    4500      10
   1       0     305    8827    1756    4500      10
   1       0     306    8315    3444    4500      10
   1       0     307    7483    5000    4500      10
   1       0     308    6364    6364    4500      10
   1       0     309    5000    7483    4500      10
   1       0     310    3444    8315    4500      10
   1       0     311    1756    8827    4500      10
   1       0     312       0    9000    4500      10
   1       0     313   -1756    8827    4500      10
   1       0     314   -3444    8315    4500      10
   1       0     315   -5000    7483    4500      10
   1       0     316   -6364    6364    4500      10
   1       0     317   -7483    5000    4500      10
   1       0     318   -8315    3444    4500      10
   1       0     319   -8827    1756    4500      10
   1       0     320   -9000       0    4500      10
   1       0     321   -8827   -1756    4500      10
   1       0     322   -8315   -3444    4500      10
   1       0     323   -7483   -5000    4500      10
   1       0     324   -6364   -6364    4500      10
   1       0     325   -5000   -7483    4500      10
   1       0     326   -3444   -8315    4500      10
   1       0     327   -1756   -8827    4500      10
